# generated_by=tools/oracle/spectrogram_reference.py
# method=scipy.signal.ShortTimeFFT(scale_to=psd, fft_mode=onesided2X)
# signal=synthetic
# sample_rate=16000
# duration=0.08
# window_length=0.01
# max_frequency=3200
# time_step=0.004
# frequency_step=125
time_s,frequency_hz,db
0.0059999999999999984,0,-85.046154327685798
0.0099999999999999985,0,-160.05371742651454
0.013999999999999999,0,-155.58916757497803
0.017999999999999999,0,-163.11135280223255
0.021999999999999999,0,-155.36204808414089
0.025999999999999999,0,-168.66591180687348
0.029999999999999999,0,-155.65364630291958
0.034000000000000002,0,-181.76582310225905
0.037999999999999999,0,-156.44318667315173
0.042000000000000003,0,-178.4015510587617
0.045999999999999999,0,-157.54138998860515
0.049999999999999996,0,-173.29989637858318
0.053999999999999999,0,-158.34329952068967
0.058000000000000003,0,-169.58372099645376
0.062,0,-159.32406603442459
0.066000000000000003,0,-169.19854930596441
0.0059999999999999984,125,-83.190086107839832
0.0099999999999999985,125,-96.317515451836456
0.013999999999999999,125,-96.488446062838051
0.017999999999999999,125,-96.73406145202901
0.021999999999999999,125,-97.017302434208801
0.025999999999999999,125,-97.373552028192364
0.029999999999999999,125,-97.74859739528975
0.034000000000000002,125,-98.19530201435856
0.037999999999999999,125,-98.634790578012783
0.042000000000000003,125,-99.133292278685332
0.045999999999999999,125,-99.601342773384189
0.049999999999999996,125,-100.09976715097027
0.053999999999999999,125,-100.52208796464853
0.058000000000000003,125,-100.93869873873631
0.062,125,-101.22933256578884
0.066000000000000003,125,-101.46550396874491
0.0059999999999999984,250,-51.078986710645175
0.0099999999999999985,250,-51.267929131526046
0.013999999999999999,250,-51.445238646606299
0.017999999999999999,250,-51.678602942648205
0.021999999999999999,250,-51.965241918866603
0.025999999999999999,250,-52.301087108392935
0.029999999999999999,250,-52.680938465434139
0.034000000000000002,250,-53.097672117876073
0.037999999999999999,250,-53.542445755986499
0.042000000000000003,250,-54.00376937984116
0.045999999999999999,250,-54.467894877606753
0.049999999999999996,250,-54.918115734540621
0.053999999999999999,250,-55.335756323668228
0.058000000000000003,250,-55.700347573210827
0.062,250,-55.991809213615973
0.066000000000000003,250,-56.191926838902916
0.0059999999999999984,375,-28.397395000602664
0.0099999999999999985,375,-28.536241527022305
0.013999999999999999,375,-28.71212850075548
0.017999999999999999,375,-28.943479114542573
0.021999999999999999,375,-29.227292305203541
0.025999999999999999,375,-29.559421712624335
0.029999999999999999,375,-29.934354064539484
0.034000000000000002,375,-30.344875196001144
0.037999999999999999,375,-30.781809669584817
0.042000000000000003,375,-31.233685449046206
0.045999999999999999,375,-31.686628177963332
0.049999999999999996,375,-32.124353209671227
0.053999999999999999,375,-32.52864201376152
0.058000000000000003,375,-32.880177565539107
0.062,375,-33.160074071971962
0.066000000000000003,375,-33.351718057124998
0.0059999999999999984,500,-27.960819407990204
0.0099999999999999985,500,-28.090534709579433
0.013999999999999999,500,-28.266390256595194
0.017999999999999999,500,-28.497703247749406
0.021999999999999999,500,-28.781458324495922
0.025999999999999999,500,-29.113518702018894
0.029999999999999999,500,-29.488350490289648
0.034000000000000002,500,-29.898754098442843
0.037999999999999999,500,-30.335528148798019
0.042000000000000003,500,-30.787222873996086
0.045999999999999999,500,-31.239942368358872
0.049999999999999996,500,-31.677430489332018
0.053999999999999999,500,-32.081454607698817
0.058000000000000003,500,-32.432743447079112
0.062,500,-32.712409565337772
0.066000000000000003,500,-32.903893550940523
0.0059999999999999984,625,-49.895579457254186
0.0099999999999999985,625,-49.930721094238947
0.013999999999999999,625,-50.107900362320592
0.017999999999999999,625,-50.341173633758565
0.021999999999999999,625,-50.627616419641022
0.025999999999999999,625,-50.963307102454038
0.029999999999999999,625,-51.342826523387195
0.034000000000000002,625,-51.759254884760466
0.037999999999999999,625,-52.203481286898487
0.042000000000000003,625,-52.664295765933403
0.045999999999999999,625,-53.127701557916254
0.049999999999999996,625,-53.577274041021987
0.053999999999999999,625,-53.994067278941841
0.058000000000000003,625,-54.357954905263654
0.062,625,-54.64863564581583
0.066000000000000003,625,-54.848278806646334
0.0059999999999999984,750,-89.430577053562757
0.0099999999999999985,750,-94.077076843860084
0.013999999999999999,750,-94.259490023374681
0.017999999999999999,750,-94.495929733966051
0.021999999999999999,750,-94.789040248556816
0.025999999999999999,750,-95.128350344794242
0.029999999999999999,750,-95.518601348932549
0.034000000000000002,750,-95.944867722313546
0.037999999999999999,750,-96.408759054690819
0.042000000000000003,750,-96.886837326974018
0.045999999999999999,750,-97.37486109141193
0.049999999999999996,750,-97.844694010854624
0.053999999999999999,750,-98.289134459840852
0.058000000000000003,750,-98.676646712822404
0.062,750,-98.995829211283649
0.066000000000000003,750,-99.212654792246795
